spec_id,connectivity,confound,reduction,classifier,domain_granularity,h1_auc_edges,h1_auc_latent,h1_delta_auc,h2_delta_d,h2_p,h3_wilcoxon_p,h3_n_factors,h3_between_gt_within,duration_s,error
164,spearman,ols,none,svm_linear,subdomain_14,0.8543668668668669,,,0.021038631416742837,0.03792415169660679,,0,0,14.310414552688599,
165,spearman,ols,none,svm_linear,domain_7,0.8543668668668669,,,0.02132265155989932,0.007984031936127744,,0,0,14.31779170036316,
166,spearman,ols,none,rf,subdomain_14,0.8269519519519518,,,0.021038631416742837,0.03792415169660679,,0,0,648.2029707431793,
167,spearman,ols,none,rf,domain_7,0.8269519519519518,,,0.02132265155989932,0.007984031936127744,,0,0,648.3516187667847,
168,spearman,ols,fa,elasticnet,subdomain_14,0.8370787454120787,0.8196738405071737,-0.017404904904904983,0.021038631416742837,0.03792415169660679,8.20159912109375e-05,20,16,325.8001518249512,
169,spearman,ols,fa,elasticnet,domain_7,0.8370787454120787,0.8196738405071737,-0.017404904904904983,0.02132265155989932,0.007984031936127744,0.0005855560302734375,20,16,309.3180959224701,
170,spearman,ols,fa,logistic_l2,subdomain_14,0.8373248248248247,0.8195362028695362,-0.01778862195528852,0.021038631416742837,0.03792415169660679,8.20159912109375e-05,20,16,193.46705412864685,
171,spearman,ols,fa,logistic_l2,domain_7,0.8373248248248247,0.8195362028695362,-0.01778862195528852,0.02132265155989932,0.007984031936127744,0.0005855560302734375,20,16,190.64256978034973,
172,spearman,ols,fa,svm_linear,subdomain_14,0.8543668668668669,0.8197280613947282,-0.03463880547213871,0.021038631416742837,0.03792415169660679,8.20159912109375e-05,20,16,179.71294808387756,
173,spearman,ols,fa,svm_linear,domain_7,0.8543668668668669,0.8197280613947282,-0.03463880547213871,0.02132265155989932,0.007984031936127744,0.0005855560302734375,20,16,188.67514538764954,
174,spearman,ols,fa,rf,subdomain_14,0.8269519519519518,0.810085085085085,-0.01686686686686678,0.021038631416742837,0.03792415169660679,8.20159912109375e-05,20,16,911.0828938484192,
175,spearman,ols,fa,rf,domain_7,0.8269519519519518,0.810085085085085,-0.01686686686686678,0.02132265155989932,0.007984031936127744,0.0005855560302734375,20,16,934.3198366165161,
176,spearman,ols,ica,elasticnet,subdomain_14,0.8370787454120787,0.8427260593927262,0.005647313980647439,0.021038631416742837,0.03792415169660679,0.055465717070337206,50,22,135.42580890655518,
177,spearman,ols,ica,elasticnet,domain_7,0.8370787454120787,0.8427260593927262,0.005647313980647439,0.02132265155989932,0.007984031936127744,0.0014846473444478647,50,16,137.31842350959778,
178,spearman,ols,ica,logistic_l2,subdomain_14,0.8373248248248247,0.8419753086419753,0.004650483817150608,0.021038631416742837,0.03792415169660679,0.055465717070337206,50,22,61.143961668014526,
179,spearman,ols,ica,logistic_l2,domain_7,0.8373248248248247,0.8419753086419753,0.004650483817150608,0.02132265155989932,0.007984031936127744,0.0014846473444478647,50,16,60.115402936935425,
